text,label
user is acceptable,neutral
such a garbage person,negative
service works fine,neutral
this is wonderful,positive
price works fine,neutral
quality is acceptable,neutral
average user,neutral
you are fantastic,positive
feeling so enjoy,positive
what a awesome day,positive
what a wonderful day,positive
you are excellent,positive
normal quality,neutral
average quality,neutral
average user,neutral
I hate this useless,negative
I really enjoy this,positive
bitch you,negative
delivery works fine,neutral
I hate this jerk,negative
quality is acceptable,neutral
this is shit,negative
I absolutely enjoy this,positive
I hate this asshole,negative
this is fuck,negative
asshole you,negative
average feature,neutral
what a great day,positive
quality is acceptable,neutral
quality works fine,neutral
feeling so brilliant,positive
jerk you,negative
average user,neutral
this is asshole,negative
you are enjoy,positive
you are wonderful,positive
average product,neutral
I hate this stupid,negative
system works fine,neutral
you are shit,negative
you are great,positive
you are amazing,positive
app is acceptable,neutral
I hate this dumb,negative
I hate this stupid,negative
such a bastard person,negative
you are amazing,positive
I hate this moron,negative
average feature,neutral
you are great,positive
you are happy,positive
I absolutely like this,positive
account works fine,neutral
this is moron,negative
account works fine,neutral
you are great,positive
the delivery is okay,neutral
average feature,neutral
normal service,neutral
average service,neutral
the price is okay,neutral
I hate this useless,negative
this is loser,negative
this is loser,negative
I absolutely like this,positive
I absolutely enjoy this,positive
I really like this,positive
average support,neutral
this is brilliant,positive
you are fuck,negative
you are awesome,positive
what a fantastic day,positive
this is hate,negative
average price,neutral
feeling so fantastic,positive
delivery works fine,neutral
feeling so awesome,positive
feeling so enjoy,positive
what a awesome day,positive
you are wonderful,positive
average system,neutral
average support,neutral
support is acceptable,neutral
what a fantastic day,positive
service is acceptable,neutral
such a jerk person,negative
moron you,negative
user works fine,neutral
average account,neutral
you are awesome,positive
I absolutely love this,positive
the experience is okay,neutral
normal app,neutral
feeling so amazing,positive
such a idiot person,negative
delivery works fine,neutral
such a stupid person,negative
you are fuck,negative
experience works fine,neutral
this is good,positive
feeling so fantastic,positive
normal experience,neutral
this is fuck,negative
service is acceptable,neutral
the service is okay,neutral
experience works fine,neutral
this is fuck,negative
the system is okay,neutral
the user is okay,neutral
what a great day,positive
you are bastard,negative
you are enjoy,positive
the product is okay,neutral
average service,neutral
what a enjoy day,positive
you are jerk,negative
I totally like this,positive
normal user,neutral
garbage you,negative
the support is okay,neutral
average support,neutral
feature works fine,neutral
you are idiot,negative
what a good day,positive
I hate this idiot,negative
feeling so beautiful,positive
you are fuck,negative
the delivery is okay,neutral
I really love this,positive
you are great,positive
normal product,neutral
support works fine,neutral
average app,neutral
this is hate,negative
you are idiot,negative
normal app,neutral
such a useless person,negative
app is acceptable,neutral
I really love this,positive
feeling so brilliant,positive
what a great day,positive
you are brilliant,positive
app works fine,neutral
I absolutely love this,positive
the product is okay,neutral
such a idiot person,negative
this is enjoy,positive
such a jerk person,negative
I hate this moron,negative
you are shit,negative
what a great day,positive
normal support,neutral
you are idiot,negative
garbage you,negative
this is shit,negative
average service,neutral
I hate this dumb,negative
I totally love this,positive
I really love this,positive
normal feature,neutral
such a fuck person,negative
average price,neutral
the product is okay,neutral
bastard you,negative
I hate this idiot,negative
the price is okay,neutral
you are shit,negative
feeling so awesome,positive
normal delivery,neutral
system is acceptable,neutral
I hate this moron,negative
normal feature,neutral
average delivery,neutral
I hate this garbage,negative
this is amazing,positive
the user is okay,neutral
this is hate,negative
the support is okay,neutral
this is jerk,negative
this is fantastic,positive
normal experience,neutral
the service is okay,neutral
this is beautiful,positive
experience works fine,neutral
this is bastard,negative
what a enjoy day,positive
this is great,positive
what a brilliant day,positive
bastard you,negative
asshole you,negative
you are moron,negative
I really like this,positive
average app,neutral
quality is acceptable,neutral
average experience,neutral
normal feature,neutral
system works fine,neutral
shit you,negative
such a shit person,negative
asshole you,negative
the delivery is okay,neutral
normal account,neutral
what a great day,positive
I really love this,positive
stupid you,negative
feeling so beautiful,positive
this is happy,positive
quality is acceptable,neutral
such a moron person,negative
such a stupid person,negative
you are bastard,negative
bitch you,negative
you are bitch,negative
what a love day,positive
average quality,neutral
normal account,neutral
hate you,negative
this is jerk,negative
this is dumb,negative
this is stupid,negative
this is awesome,positive
the quality is okay,neutral
the price is okay,neutral
delivery is acceptable,neutral
I really love this,positive
useless you,negative
such a bastard person,negative
delivery is acceptable,neutral
what a happy day,positive
what a amazing day,positive
this is garbage,negative
such a fuck person,negative
you are awesome,positive
you are stupid,negative
what a awesome day,positive
this is idiot,negative
this is jerk,negative
experience works fine,neutral
average app,neutral
you are happy,positive
the quality is okay,neutral
I hate this hate,negative
shit you,negative
quality is acceptable,neutral
I really like this,positive
stupid you,negative
such a bitch person,negative
feeling so great,positive
I absolutely love this,positive
such a moron person,negative
hate you,negative
you are wonderful,positive
average price,neutral
I totally like this,positive
this is useless,negative
price is acceptable,neutral
delivery works fine,neutral
I really like this,positive
I hate this moron,negative
account is acceptable,neutral
this is excellent,positive
what a great day,positive
loser you,negative
quality works fine,neutral
I really like this,positive
normal user,neutral
you are shit,negative
quality works fine,neutral
what a good day,positive
what a beautiful day,positive
I really enjoy this,positive
the price is okay,neutral
I really love this,positive
asshole you,negative
this is beautiful,positive
such a idiot person,negative
hate you,negative
you are shit,negative
the price is okay,neutral
the system is okay,neutral
normal quality,neutral
you are enjoy,positive
the product is okay,neutral
service works fine,neutral
what a happy day,positive
